Province/State,Country/Region,Lat,Long,deaths,confirmed,recovered
,Namibia,-22.9576,18.4904,0,16,14.0
,Nepal,28.1667,84.25,0,267,46.0
Aruba,Netherlands,12.5186,-70.0358,3,101,0.0
Curacao,Netherlands,12.1696,-68.99,1,16,1428.0
Sint Maarten,Netherlands,18.0425,-63.0548,15,76,7.0
,Netherlands,52.1326,5.2913,5643,43681,684.0
,New Zealand,-40.9006,174.886,21,1498,1320.0
,Nicaragua,12.8654,-85.2072,8,25,1251.0
,Niger,17.6078,8.0817,51,885,32.0
,Nigeria,9.082,8.6753,171,5450,1350.0
,North Macedonia,41.6086,21.7453,97,1740,10880.0
,Norway,60.472,8.4689,232,8219,6080.0
,Oman,21.0,57.0,20,4625,8.0
,Pakistan,30.3753,69.3451,834,38799,193.0
,Panama,8.538,-80.7821,266,9268,27147.0
,Papua New Guinea,-6.315,143.9555,0,8,2460.0
,Paraguay,-23.4425,-58.4438,11,759,6918.0
,Peru,-9.19,-75.0152,2392,84495,3328.0
,Philippines,13.0,122.0,806,12091,3546.0
,Poland,51.9194,19.1451,907,18016,9370.0
,Portugal,39.3999,-8.2245,1190,28583,58226.0
,Qatar,25.3548,51.1839,14,29425,177.0
,Romania,45.9432,24.9668,1070,16437,14.0
,Russia,60.0,90.0,2418,262843,18.0
,Rwanda,-1.9403,29.8739,0,287,14.0
,Saint Lucia,13.9094,-60.9789,0,18,189.0
,Saint Vincent and the Grenadines,12.9843,-61.2872,0,17,21869.0
,San Marino,43.9424,12.4578,41,652,890.0
,Saudi Arabia,24.0,45.0,292,49176,4301.0
,Senegal,14.4974,-14.4524,25,2310,10.0
,Serbia,44.0165,21.0059,225,10438,7248.0
,Seychelles,-4.6796,55.492,0,11,1131.0
,Singapore,1.2833,103.8333,21,26891,270.0
,Slovakia,48.669,19.699,27,1480,135.0
,Slovenia,46.1512,14.9955,103,1465,6083.0
,Somalia,5.1521,46.1996,53,1284,144783.0
,South Africa,-30.5595,22.9375,247,13524,477.0
,Spain,40.0,-4.0,27459,230183,205.0
,Sri Lanka,7.0,81.0,9,935,9.0
,Sudan,12.8628,30.2176,91,1964,4971.0
,Suriname,3.9193,-56.0278,1,10,27100.0
,Sweden,63.0,16.0,3646,29207,36.0
,Switzerland,46.8182,8.2275,1878,30514,387.0
,Taiwan,23.7,121.0,7,440,183.0
,Tanzania,-6.369,34.8888,21,509,2854.0
,Thailand,15.0,101.0,56,3025,24.0
,Togo,8.6195,0.8248,11,263,96.0
,Trinidad and Tobago,10.6918,-61.2225,8,116,107.0
,Tunisia,34.0,9.0,45,1035,802.0
,Turkey,38.9637,35.2433,4055,146457,106133.0
,Uganda,1.0,32.0,0,203,63.0
,Ukraine,48.3794,31.1656,476,17330,4473.0
